Site,datetime,GPP_daily,ER_daily,K600_daily
HOGDN,2019-07-09 00:00:00,0.057461047,-5.981118206,4.488807143
HOGDN,2019-07-10 00:00:00,0.072462402,-6.04141457,5.32073752
HOGDN,2019-07-11 00:00:00,0.147941813,-5.065505736,4.486296987
HOGDN,2019-07-14 00:00:00,0.10963762,-4.541062776,3.414562708
HOGDN,2019-07-15 00:00:00,0.164126232,-6.98270419,6.199282362
HOGDN,2019-07-17 00:00:00,0.12698556,-2.761144861,1.884500202
HOGDN,2019-07-21 00:00:00,0.079274952,-3.718601972,1.647509498
HOGDN,2019-07-22 00:00:00,0.107281441,-6.078802246,2.850678096
HOGDN,2019-07-23 00:00:00,0.118253596,-4.834008293,2.385872613
HOGDN,2019-07-25 00:00:00,0.092047203,-6.055956213,1.952095958
HOGNW16,2019-04-12 00:00:00,0.131787248,-3.061916032,8.466677042
HOGNW16,2019-04-13 00:00:00,0.141455025,-3.392944552,9.560582734
HOGNW16,2019-04-14 00:00:00,0.27488563,-3.261085917,9.003072985
HOGNW16,2019-04-15 00:00:00,0.156906353,-2.579598204,9.355705086
HOGNW16,2019-04-16 00:00:00,0.138500617,-2.398666458,8.84527319
HOGNW16,2019-04-17 00:00:00,0.114979422,-2.219405787,7.180453752
HOGNW16,2019-04-18 00:00:00,-0.221266255,-0.592218988,1.775104376
HOGNW16,2019-04-20 00:00:00,-0.072242119,-1.953985813,6.920697966
HOGNW16,2019-04-21 00:00:00,-0.048830975,-2.271423151,8.705695129
HOGNW16,2019-04-22 00:00:00,-0.02480562,-2.538417418,9.466822687
HOGNW16,2019-04-23 00:00:00,-0.022953377,-2.665339028,9.507789725
HOGNW16,2019-04-24 00:00:00,0.055837562,-2.4293156,9.749468203
HOGNW16,2019-04-25 00:00:00,0.03223783,-1.584641891,5.997363667
HOGNW16,2019-04-26 00:00:00,-0.042079732,-0.444244266,1.397918696
HOGNW16,2019-04-27 00:00:00,-0.020430832,-2.485958136,9.636683108
HOGNW16,2019-04-28 00:00:00,0.013689186,-2.466787188,9.627327794
HOGNW16,2019-04-29 00:00:00,0.062885157,-2.607145877,9.7534072
HOGNW16,2019-04-30 00:00:00,0.096070408,-2.752937356,9.808830272
HOGNW16,2019-05-01 00:00:00,0.109608959,-2.94071307,10.03948193
HOGNW16,2019-05-02 00:00:00,0.064289749,-1.390106615,3.135682502
HOGNW16,2019-05-03 00:00:00,-0.202913088,-0.199147546,0.894648416
HOGNW16,2019-05-04 00:00:00,0.041738717,-3.441606457,9.356404436
HOGNW16,2019-05-05 00:00:00,-0.027371947,-0.075968738,0.1609831
HOGNW16,2019-05-06 00:00:00,-0.09166303,-2.355480208,7.130059293
HOGNW16,2019-05-07 00:00:00,-0.021641891,-2.563674644,9.307164957
HOGNW16,2019-05-08 00:00:00,-0.017055788,-2.551160993,9.915342968
HOGNW16,2019-05-09 00:00:00,0.019120331,-2.586261643,10.15585861
HOGNW16,2019-05-10 00:00:00,0.061589167,-2.648996478,10.20070224
HOGNW16,2019-05-11 00:00:00,0.082992014,-2.625790607,10.16802689
HOGNW16,2019-05-12 00:00:00,0.139055973,-2.100302622,7.252475127
HOGNW16,2019-05-13 00:00:00,0.128977,-2.56534114,9.434510215
HOGNW16,2019-05-14 00:00:00,0.093511917,-2.060871807,8.935350342
HOGNW16,2019-05-15 00:00:00,0.139317569,-2.080875814,10.19059721
HOGNW16,2019-05-16 00:00:00,0.116905046,-1.976642705,9.441149037
HOGNW16,2019-05-17 00:00:00,0.159257618,-2.142608299,9.820617472
HOGNW16,2019-05-18 00:00:00,0.231295042,-2.389415447,10.90790907
HOGNW16,2019-05-19 00:00:00,0.174646049,-2.066836211,9.225540438
HOGNW16,2019-05-20 00:00:00,0.201815263,-2.659317136,11.19989643
HOGNW16,2019-05-21 00:00:00,0.187328171,-2.021007818,8.340633036
HOGNW16,2019-05-22 00:00:00,0.199530751,-2.072275085,8.753731924
HOGNW16,2019-05-23 00:00:00,0.158193255,-2.331659309,10.20985913
